district,points,center,color
Советский р-н,"[(55.79701666, 49.16197596), (55.85077252, 49.167975), (55.85839452, 49.17391473), (55.8619433, 49.18931734), (55.85855522, 49.20314189), (55.85172355, 49.22550653), (55.84101221, 49.24695937), (55.81497592, 49.28114693), (55.81151284, 49.28475268), (55.80333358, 49.2875187), (55.76163269, 49.29372761), (55.74971864, 49.28628329), (55.74933053, 49.28282012), (55.75022275, 49.27126502), (55.75996203, 49.16506946)]","(55.80066640369826, 49.223278913187386)",green
Кировский р-н,"[(55.80102575, 48.98355862), (55.81410362, 49.00406575), (55.82835613, 49.02772878), (55.82861255, 49.04609018), (55.82341167, 49.08198871), (55.81182168, 49.10321252), (55.80570817, 49.09168861), (55.79157857, 49.05581216), (55.79457119, 49.00296876)]","(55.80917736908331, 49.0473088780833)",blue
Приволжский р-н,"[(55.70005112, 49.06250366), (55.75925831, 49.10014186), (55.77102015, 49.11192909), (55.77392978, 49.14481835), (55.75827932, 49.25162324), (55.75770597, 49.25406796), (55.74729353, 49.28122973), (55.74449144, 49.28271927), (55.74122058, 49.28204946), (55.73575913, 49.27714655), (55.70984081, 49.21767195), (55.69123173, 49.16411526), (55.68995762, 49.14355671), (55.69440841, 49.08698442), (55.6981604, 49.06306173)]","(55.737072005884016, 49.16685756379711)",yellow
Московский р-н,"[(55.83514383, 49.02335297), (55.84316452, 49.02822632), (55.84393354, 49.02882183), (55.84686738, 49.05424566), (55.84528078, 49.07596403), (55.84148948, 49.08337392), (55.82465763, 49.10643709), (55.81793522, 49.09902899), (55.81703343, 49.09114806), (55.82896952, 49.0427987)]","(55.83297060833335, 49.06870853814814)",red
Авиастроительный р-н,"[(55.8512175, 49.05064957), (55.85380298, 49.05278627), (55.86438327, 49.09596706), (55.86704972, 49.14431005), (55.85138607, 49.13876836), (55.84964884, 49.13678437), (55.84475643, 49.0878232), (55.84693701, 49.06172313), (55.84739923, 49.05944653)]","(55.85446777896553, 49.09137408051725)",pink
Ново-Савиновский р-н,"[(55.84317032, 49.09048384), (55.84411471, 49.09296946), (55.84888838, 49.14561398), (55.84842969, 49.15589655), (55.84821382, 49.16017302), (55.82842188, 49.16609233), (55.82154427, 49.16220761), (55.81303454, 49.13443587), (55.81224943, 49.10959414), (55.81294515, 49.10820295), (55.83355611, 49.09205691)]","(55.83215790016129, 49.12976869362903)",white
Вахитовский р-н,"[(55.76170341, 49.07853502), (55.79695093, 49.07940637), (55.8050097, 49.12012959), (55.80437154, 49.14670158), (55.80367795, 49.15514583), (55.79088496, 49.1618259), (55.76999698, 49.17004746), (55.76792331, 49.16483669), (55.76604657, 49.15729426), (55.75989995, 49.08043905)]","(55.78388507437498, 49.128690148958306)",black
Верхнеуслонский р-н,"[(55.7681986, 48.98036832), (55.76988209, 48.98200914), (55.77219498, 48.98689375), (55.7720068, 48.98837987), (55.76826878, 48.99391249), (55.7626622, 48.99537548), (55.75396248, 48.99221216), (55.7601299, 48.98041104)]","(55.765367782000006, 48.98666391933334)",brown
